风机名,状态码,状态码描述,激活时间,复位时间
10,300133,变桨轴3充电回路断开,2021-11-20 14:45:26:136,2021-11-20 14:45:26:396
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:26:136,2021-11-20 14:45:26:396
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:26:136,2021-11-20 14:45:26:396
10,300131,变桨轴1充电回路断开,2021-11-20 14:45:25:896,2021-11-20 14:45:26:116
10,300132,变桨轴2充电回路断开,2021-11-20 14:45:25:896,2021-11-20 14:45:26:116
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:45:25:896,2021-11-20 14:45:26:116
10,300116,变桨轴3后备电源欠电压,2021-11-20 14:45:25:896,2021-11-20 14:45:26:116
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:45:25:896,2021-11-20 14:45:26:116
10,300133,变桨轴3充电回路断开,2021-11-20 14:45:25:896,2021-11-20 14:45:26:116
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 14:45:25:716,2021-11-20 14:45:25:736
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 14:45:25:716,2021-11-20 14:45:25:736
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 14:45:25:716,2021-11-20 14:45:25:736
10,300311,变桨系统轴1驱动器故障,2021-11-20 14:17:07:532,2021-11-20 14:45:25:696
10,300312,变桨系统轴2驱动器故障,2021-11-20 14:17:07:492,2021-11-20 14:45:25:696
10,300313,变桨系统轴3驱动器故障,2021-11-20 14:17:07:452,2021-11-20 14:45:25:696
10,300713,变桨系统轴柜3温度超限,2021-11-20 13:57:47:730,2021-11-20 14:27:06:454
10,230031,变桨系统重复故障,2021-11-20 13:57:47:590,2021-11-20 14:45:25:696
10,300711,变桨系统轴柜1温度超限,2021-11-20 13:57:47:590,2021-11-20 14:27:06:534
10,300712,变桨系统轴柜2温度超限,2021-11-20 13:57:47:570,2021-11-20 14:27:06:494
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 13:57:23:230,2021-11-20 14:45:25:696
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 13:57:23:070,2021-11-20 14:45:25:696
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 13:57:23:070,2021-11-20 14:45:25:696
10,300908,桨叶齿轮润滑油位低,2021-11-20 11:35:09:216,2021-11-20 14:45:25:696
10,300907,桨叶轴承润滑油位低,2021-11-20 11:35:09:216,2021-11-20 14:45:25:696
